id,text,ticket_id,author
CMT-1054,Maintenance alert: FiberLink in POP-South scheduled for reboot due to OSPF state stuck.,TKT-5054,system_monitor_1@netops.com
CMT-1055,Warning: LoadBalancer at HQ-Basement is reporting BGP neighbor down. Ticket auto-generated.,TKT-5055,system_monitor_4@netops.com
CMT-1056,Critical: OSPF state stuck on Router (HQ-Basement). Immediate attention required.,TKT-5056,system_monitor_3@netops.com
CMT-1057,Maintenance alert: Firewall in DataCenter-A scheduled for reboot due to Interface flapping.,TKT-5057,system_monitor_1@netops.com
CMT-1058,Warning: LoadBalancer at Cloud-Region-East is reporting Overheating detected. Ticket auto-generated.,TKT-5058,system_monitor_5@netops.com
CMT-1059,Warning: FiberLink at HQ-Basement is reporting Memory allocation failure. Ticket auto-generated.,TKT-5059,system_monitor_2@netops.com
CMT-1060,Maintenance alert: PowerSupply in HQ-Basement scheduled for reboot due to Fan failure.,TKT-5060,system_monitor_5@netops.com
CMT-1061,Warning: FiberLink at DataCenter-A is reporting CRC errors increasing. Ticket auto-generated.,TKT-5061,system_monitor_4@netops.com
CMT-1062,Warning: PowerSupply at HQ-Basement is reporting Packet loss > 1%. Ticket auto-generated.,TKT-5062,system_monitor_1@netops.com
CMT-1063,Maintenance alert: LoadBalancer in Cloud-Region-East scheduled for reboot due to Overheating detected.,TKT-5063,system_monitor_1@netops.com
CMT-1064,Critical: Packet loss > 1% on Switch (POP-North). Immediate attention required.,TKT-5064,system_monitor_1@netops.com
CMT-1065,Warning: PowerSupply at POP-North is reporting Overheating detected. Ticket auto-generated.,TKT-5065,system_monitor_4@netops.com
CMT-1066,Maintenance alert: Firewall in DataCenter-A scheduled for reboot due to Packet loss > 1%.,TKT-5066,system_monitor_1@netops.com
CMT-1067,Warning: Router at Cloud-Region-East is reporting Fan failure. Ticket auto-generated.,TKT-5067,system_monitor_2@netops.com
CMT-1068,Critical: Interface flapping on Router (POP-South). Immediate attention required.,TKT-5068,system_monitor_5@netops.com
CMT-1069,Maintenance alert: FiberLink in DataCenter-A scheduled for reboot due to Memory allocation failure.,TKT-5069,system_monitor_4@netops.com
CMT-1070,Warning: Router at Cloud-Region-East is reporting BGP neighbor down. Ticket auto-generated.,TKT-5070,system_monitor_2@netops.com
CMT-1071,Warning: FiberLink at POP-South is reporting CRC errors increasing. Ticket auto-generated.,TKT-5071,system_monitor_4@netops.com
CMT-1072,Maintenance alert: Firewall in HQ-Basement scheduled for reboot due to BGP neighbor down.,TKT-5072,system_monitor_4@netops.com
CMT-1073,Warning: PowerSupply at POP-North is reporting Interface flapping. Ticket auto-generated.,TKT-5073,system_monitor_4@netops.com
CMT-1074,Warning: PowerSupply at Cloud-Region-East is reporting CRC errors increasing. Ticket auto-generated.,TKT-5074,system_monitor_4@netops.com
CMT-1075,Maintenance alert: Firewall in Cloud-Region-East scheduled for reboot due to Interface flapping.,TKT-5075,system_monitor_3@netops.com
CMT-1076,Critical: High latency observed on Firewall (HQ-Basement). Immediate attention required.,TKT-5076,system_monitor_4@netops.com
CMT-1077,Warning: FiberLink at POP-South is reporting BGP neighbor down. Ticket auto-generated.,TKT-5077,system_monitor_1@netops.com
CMT-1078,Maintenance alert: PowerSupply in DataCenter-A scheduled for reboot due to Interface flapping.,TKT-5078,system_monitor_3@netops.com
CMT-1079,Warning: PowerSupply at POP-North is reporting Optical signal low. Ticket auto-generated.,TKT-5079,system_monitor_2@netops.com
CMT-1080,Critical: Optical signal low on Switch (HQ-Basement). Immediate attention required.,TKT-5080,system_monitor_3@netops.com
CMT-1081,Maintenance alert: FiberLink in DataCenter-A scheduled for reboot due to Fan failure.,TKT-5081,system_monitor_4@netops.com
CMT-1082,Warning: Router at Cloud-Region-East is reporting High latency observed. Ticket auto-generated.,TKT-5082,system_monitor_2@netops.com
CMT-1083,Warning: LoadBalancer at POP-South is reporting Packet loss > 1%. Ticket auto-generated.,TKT-5083,system_monitor_5@netops.com
CMT-1084,Maintenance alert: Switch in DataCenter-A scheduled for reboot due to BGP neighbor down.,TKT-5084,system_monitor_4@netops.com
CMT-1085,Warning: PowerSupply at POP-North is reporting CRC errors increasing. Ticket auto-generated.,TKT-5085,system_monitor_3@netops.com
CMT-1086,Warning: PowerSupply at POP-North is reporting Packet loss > 1%. Ticket auto-generated.,TKT-5086,system_monitor_1@netops.com
CMT-1087,Maintenance alert: Firewall in Cloud-Region-East scheduled for reboot due to Memory allocation failure.,TKT-5087,system_monitor_1@netops.com
CMT-1088,Critical: Optical signal low on Switch (DataCenter-A). Immediate attention required.,TKT-5088,system_monitor_5@netops.com
CMT-1089,Warning: LoadBalancer at POP-North is reporting High latency observed. Ticket auto-generated.,TKT-5089,system_monitor_4@netops.com
CMT-1090,Maintenance alert: Switch in DataCenter-A scheduled for reboot due to CRC errors increasing.,TKT-5090,system_monitor_3@netops.com
CMT-1091,Warning: LoadBalancer at DataCenter-A is reporting Fan failure. Ticket auto-generated.,TKT-5091,system_monitor_1@netops.com
CMT-1092,Critical: Fan failure on PowerSupply (Cloud-Region-East). Immediate attention required.,TKT-5092,system_monitor_5@netops.com
CMT-1093,Maintenance alert: PowerSupply in DataCenter-A scheduled for reboot due to Overheating detected.,TKT-5093,system_monitor_2@netops.com
CMT-1094,Warning: LoadBalancer at HQ-Basement is reporting Memory allocation failure. Ticket auto-generated.,TKT-5094,system_monitor_1@netops.com
CMT-1095,Warning: PowerSupply at Cloud-Region-East is reporting BGP neighbor down. Ticket auto-generated.,TKT-5095,system_monitor_5@netops.com
CMT-1096,Maintenance alert: Switch in Cloud-Region-East scheduled for reboot due to CRC errors increasing.,TKT-5096,system_monitor_4@netops.com
CMT-1097,Warning: PowerSupply at HQ-Basement is reporting Overheating detected. Ticket auto-generated.,TKT-5097,system_monitor_5@netops.com
CMT-1098,Warning: PowerSupply at POP-South is reporting BGP neighbor down. Ticket auto-generated.,TKT-5098,system_monitor_4@netops.com
CMT-1099,Maintenance alert: Switch in HQ-Basement scheduled for reboot due to Interface flapping.,TKT-5099,system_monitor_1@netops.com
CMT-1100,Critical: OSPF state stuck on Firewall (POP-South). Immediate attention required.,TKT-5100,system_monitor_3@netops.com
